900, 3
1, 1.03, 1.33
2, 0.71, 1.27
3, 1.16, 0.58
4, 1.42, 1.09
5, 0.34, 1.27
6, 0.62, 1.42
7, 1.26, 2.14
8, 0.48, 0.36
9, 1.16, 1.37
10, 0.62, 1.52
11, 0.68, 0.7
12, 1.26, 0.66
13, 1.52, 0.05
14, 0.86, 1.3
15, 0.65, 0.54
16, 0.26, 0.67
17, 1.22, 1.05
18, 0.93, 1.53
19, 1.6, 0.79
20, 0.81, 0.86
21, 1.73, 0.75
22, 1.11, 1.71
23, -0.03, 1.27
24, 0.81, 0.89
25, 0.85, 1.72
26, 1.06, 0.61
27, 0.23, 0.23
28, 1, 0.89
29, 0.53, 0.12
30, 1.27, 0.96
31, 0.7, 1.29
32, 1.15, 0.19
33, 0.83, 0.74
34, 0.88, 0.98
35, 1.07, 1.22
36, 1.81, 0.63
37, 1.57, 0.82
38, 0.61, 0.78
39, 1.22, 0.91
40, -0.14, 0.62
41, 2.18, 1.74
42, 0.66, 0.58
43, 0.75, 1.2
44, 0.6, 0.6
45, 1.32, 1.31
46, 0.76, 1.67
47, 1.5, 1.8
48, 1.08, 0.43
49, 0.73, 1.32
50, 0.38, 1.76
51, 1.24, 0.92
52, 1.05, 1.41
53, 0.66, 2.08
54, 1.56, 0.26
55, 1, 0.66
56, 0.79, 0.68
57, 1.61, 0.98
58, 0.05, 1.87
59, 1.6, 1.5
60, 0.55, 1
61, 1.58, 1.21
62, 1.35, 0.44
63, 0.4, 0.49
64, 0.62, 1.3
65, 0.69, 1.6
66, 0.97, 0.15
67, 1.09, 1.55
68, 0.59, 0.73
69, 1.58, 0.99
70, 0.93, 1.16
71, 1.67, 1.75
72, 1.24, 0.68
73, 1.69, 1.33
74, 1.95, 1.48
75, 1.7, 1.43
76, 1.62, 1.37
77, 1.71, 1.17
78, 1.18, 0.54
79, 1.53, 0.64
80, 1.24, 0.75
81, 0.92, 0.74
82, 0.65, 1.38
83, 1.12, 1.56
84, 0.82, 1.67
85, 1.47, 0.59
86, 0.8, 0.85
87, 1.74, 0.7
88, 0.98, 1.78
89, 0.58, 0.71
90, 1.5, 1.34
91, 1.37, 1.3
92, 0.9, 0.6
93, 0.88, 0.75
94, 1.38, 0.92
95, 1.58, 2.12
96, 1, 0.64
97, 0.96, 0.48
98, 1.21, 0.98
99, 1.09, 0.66
100, 0.77, 1.59
101, 3.25, 1.11
102, 2.9, 0.17
103, 2.88, 0.24
104, 2.44, 0.55
105, 3.4, 1.55
106, 3.02, 1.11
107, 3.26, 1.1
108, 3.26, 1.25
109, 3.2, 1.28
110, 2.9, 0.22
111, 2.44, 1.21
112, 3.05, 1.39
113, 3.1, 1.15
114, 3.68, 1
115, 2.2, 0.29
116, 3.49, 0.43
117, 2.97, 0.45
118, 1.89, 0.77
119, 3.38, 1.24
120, 3.64, 0.55
121, 3.64, 0.99
122, 3.37, 1.11
123, 3.44, 1.03
124, 2.58, 1.26
125, 3.14, 0.12
126, 2.58, 1.03
127, 2.53, 0.45
128, 2.73, -0.144
129, 3.05, 1.49
130, 2.85, 0.64
131, 2.76, 0.78
132, 1.95, 1.06
133, 2.5, 0.38
134, 3.29, 1.04
135, 3.41, 1.06
136, 3.33, 1.76
137, 2.7, 2.09
138, 2.55, 1.52
139, 2.34, 1.71
140, 2.75, -0.13
141, 2.54, 1.04
142, 3.61, 0.78
143, 2.93, 0.78
144, 3.24, 1.17
145, 3.03, 1.78
146, 2.45, -0.11
147, 2.46, 0.34
148, 2.05, 1.8
149, 2.83, -0.07
150, 3.78, 0.76
151, 2.89, 0.58
152, 3.01, 1.34
153, 2.23, 1.3
154, 3.04, 1.25
155, 2.8, 1.48
156, 3.41, 0.79
157, 2.42, 1.85
158, 2.75, 1.27
159, 3.19, 1.34
160, 2.1, 1.39
161, 3.07, 1.62
162, 3.53, 1.01
163, 2.79, 1.55
164, 3.12, 1.27
165, 2.59, 1.44
166, 2.27, 0.91
167, 2.01, 1.46
168, 2.91, 1.76
169, 1.95, 1.73
170, 2.71, -0.08
171, 3.4, 0.91
172, 3.12, 1.22
173, 3.58, 0.79
174, 2.25, 2.06
175, 3.29, 0.46
176, 2.73, 0.99
177, 2.92, 0.99
178, 2.52, 1.37
179, 3.78, 0.18
180, 2.19, 1.88
181, 2.76, 0.73
182, 2.15, 1.31
183, 2.67, 1.39
184, 3.51, 0.54
185, 2.96, 0.63
186, 1.97, 1.21
187, 2.31, 1.09
188, 3.34, 0.64
189, 2.91, 1.41
190, 2.18, 0.66
191, 2.76, 0.75
192, 3.62, 0.47
193, 2.97, 2.08
194, 2.29, 0.52
195, 2.84, 0.68
196, 3.47, 0.81
197, 4.06, 0.65
198, 3.36, 0.43
199, 2.75, 2.53
200, 3.29, 1.01
201, 4.97, 0.98
202, 4.56, 0.77
203, 5.64, 1.12
204, 5.51, 0.61
205, 4.58, 1.34
206, 4.72, 0.85
207, 5.12, 0.56
208, 4.35, 1.15
209, 5.25, 1.29
210, 5.02, 1.4
211, 6.01, 0.82
212, 4.93, 1.46
213, 5.34, 0.24
214, 4.33, 0.73
215, 5.32, 1.4
216, 4.44, 0.67
217, 4.95, 1.04
218, 4.8, 1.09
219, 5.8, 0.87
220, 4.52, 0.29
221, 4.84, 0.91
222, 5.31, 1.5
223, 5.02, 1.72
224, 4.46, 1.16
225, 4.69, 0.02
226, 4.75, 1.26
227, 3.98, 0.98
228, 5.39, 0.77
229, 4.74, 0.46
230, 5.69, 1.72
231, 5.73, 0.89
232, 5.09, 1.18
233, 5.78, 1.38
234, 4.66, 0.52
235, 3.97, 0.59
236, 4.67, 0.41
237, 5.74, 1.27
238, 4.52, 0.8
239, 5.18, 0.61
240, 4.66, 1.68
241, 5.05, 1.22
242, 5.64, 1.59
243, 3.88, 0.75
244, 5, 1.34
245, 5.34, 2.43
246, 5.02, 1.13
247, 4.02, 1.14
248, 5.65, 0.47
249, 4, 1.5
250, 4.34, 1.13
251, 4.33, 0.92
252, 4.81, 0.4
253, 5.53, 0.94
254, 4.07, 0.63
255, 5.48, 0.55
256, 5.06, 1.04
257, 4.87, 1.43
258, 4.38, 1.94
259, 5.13, 1.01
260, 5.49, 1.3
261, 4.85, 0.88
262, 5.53, 0.94
263, 4.72, 0.95
264, 5.25, 0.48
265, 4.56, 1.06
266, 4.91, 0.03
267, 5.46, 1.84
268, 5.9, 0.93
269, 4.78, 0.26
270, 5.11, 1.47
271, 4.68, 1.68
272, 4.73, 1.28
273, 4.67, 1.33
274, 4.85, 1.43
275, 5.62, 1.18
276, 4.95, 0.65
277, 4.7, 1.15
278, 4.94, 0.7
279, 4.06, 1.13
280, 5.63, 0.65
281, 4.55, 1.89
282, 5.42, 0.89
283, 3.81, 1.6
284, 4.89, 1.39
285, 5.14, 1.74
286, 5.54, 0.34
287, 4.4, 2.12
288, 4.56, 0.98
289, 4.92, 0.66
290, 5.35, 2.05
291, 4.72, 0.24
292, 4.33, 0.74
293, 5.59, 0.74
294, 5.08, 1.39
295, 4.5, 0.87
296, 4.45, 0.56
297, 4.81, 1.25
298, 5.63, 0.41
299, 5.1, 0.99
300, 5.46, 0.65
301, 0.85, 3.21
302, 0.5, 1.74
303, 1.7, 3.58
304, 1.3, 2.89
305, 1.55, 2.92
306, 1.58, 3.26
307, 0.98, 3.06
308, 1.36, 3.36
309, 0.83, 2.35
310, 0.87, 2.94
311, 1.25, 2.77
312, 1.78, 2.95
313, 0.23, 2.53
314, 0.97, 3.71
315, 0.9, 2.74
316, 1.55, 3.05
317, 1.98, 2.72
318, 1.02, 2.39
319, 1.59, 3.29
320, 1.18, 3.3
321, 0.86, 2.3
322, 1.11, 2.76
323, 0.53, 3.87
324, 0.61, 2.89
325, 1.27, 2.55
326, 1.3, 3.04
327, 0.37, 4.03
328, 0.95, 4.38
329, 1.17, 3.23
330, 1.36, 2.23
331, 1.43, 2.29
332, 1.24, 2.89
333, 1.11, 2.93
334, -0.14, 2.83
335, 1.71, 2.48
336, 1.12, 3.34
337, 0.83, 2.86
338, 0.99, 2.69
339, -0.07, 2.91
340, 0.48, 2.97
341, 0.75, 3.51
342, 0.87, 2.71
343, 0.43, 2.78
344, 0.73, 3.1
345, 0.93, 3.47
346, 0.08, 2.84
347, 1.7, 3.17
348, 1.01, 3.46
349, 2.06, 3.79
350, 0.76, 2.51
351, 1, 2.59
352, 0.84, 3.21
353, 1.45, 3.02
354, -0.14, 3.42
355, 1.48, 2.97
356, 1.6, 3.18
357, 1.37, 2.57
358, 1.24, 3.25
359, 1.78, 2.98
360, 0.45, 3.15
361, 1.43, 3.39
362, 0.47, 2.5
363, 0.81, 2.66
364, 0.95, 1.91
365, 1.28, 3.41
366, 1.34, 2.73
367, 1.47, 2.95
368, 1.22, 2.96
369, 1.73, 3.07
370, 0.85, 3.83
371, 0.92, 3.47
372, 0.62, 3.32
373, 1.01, 2.55
374, 1.93, 3.08
375, 1.21, 2.25
376, 1.43, 3.2
377, 0.33, 2.95
378, 0.27, 3.63
379, 0.3, 3.65
380, 0.69, 3.04
381, 0.76, 3.11
382, 0.57, 3.1
383, 0.45, 4.37
384, 0.36, 3.05
385, 1.5, 2.61
386, 1.29, 2.95
387, 0.84, 2.76
388, 1.07, 2.88
389, 1.28, 2.65
390, 1.12, 2
391, 1.16, 2.59
392, 0.81, 2.76
393, 0.48, 2.75
394, 0.36, 3.44
395, 1.84, 2.47
396, 1, 2.65
397, 2.06, 3.86
398, 0.97, 2.63
399, 0.71, 3.71
400, 1.86, 2.96
401, 2.91, 2.85
402, 3.21, 3.63
403, 2.46, 3.42
404, 3.27, 2.25
405, 3.25, 2.18
406, 3.1, 2.82
407, 2.56, 1.58
408, 3.7, 2.96
409, 2.3, 3.06
410, 1.95, 3.65
411, 2.3, 2.54
412, 2.58, 2.92
413, 4.02, 2.66
414, 2.31, 2.5
415, 2.99, 2.14
416, 3.07, 2.97
417, 3.07, 3.41
418, 3.31, 2.19
419, 3.27, 4.35
420, 3.27, 2.85
421, 2.9, 2.95
422, 3.18, 2.57
423, 3.46, 2.88
424, 2.64, 3.28
425, 2.98, 3.19
426, 2.71, 3.02
427, 2.85, 3.19
428, 3.79, 2.66
429, 3.18, 3.07
430, 3.23, 3.1
431, 3.48, 3.71
432, 2.2, 2.94
433, 2.67, 2.79
