2000,3
1,-349,202
2,-339,205
3,-343,199
4,-343,204
5,-345,195
6,-336,193
7,-331,199
8,-336,200
9,-338,190
10,-348,194
11,-349,197
12,-341,193
13,-339,193
14,-333,207
15,-327,198
16,-331,189
17,-339,184
18,-349,192
19,-346,204
20,-337,205
21,-333,187
22,-336,182
23,-344,177
24,-347,182
25,-349,186
26,-349,191
27,-342,185
28,-335,189
29,-327,195
30,-335,197
31,-321,205
32,-319,183
33,-333,175
34,-337,175
35,-355,188
36,-355,201
37,-340,210
38,-323,206
39,-324,180
40,-338,168
41,-349,172
42,-356,182
43,-338,175
44,-331,175
45,-323,190
46,-331,206
47,-344,211
48,-339,212
49,-333,213
50,-329,207
51,-349,204
52,-358,201
53,-354,184
54,-335,183
55,-324,188
56,-317,197
57,-314,192
58,-325,184
59,-332,172
60,-322,173
61,-321,173
62,-317,180
63,-315,177
64,-332,164
65,-345,170
66,-350,177
67,-321,182
68,-311,195
69,-318,211
70,-308,209
71,-305,189
72,-310,169
73,-331,155
74,-345,168
75,-359,186
76,-360,200
77,-350,149
78,-347,146
79,-357,164
80,-333,170
81,-331,158
82,-325,163
83,-312,174
84,-312,188
85,-357,165
86,-347,154
87,-343,161
88,-352,172
89,-355,178
90,-356,175
91,-352,192
92,-320,197
93,-310,183
94,-300,185
95,-301,174
96,-317,156
97,-328,144
98,-333,140
99,-316,158
100,-304,184
101,-296,197
102,-321,219
103,-341,216
104,-353,207
105,-357,202
106,-356,216
107,-364,200
108,-366,194
109,-366,173
110,-365,167
111,-360,169
112,-358,181
113,-328,190
114,-304,177
115,-313,158
116,-296,170
117,-292,196
118,-305,211
119,-306,200
120,-312,201
121,-316,206
122,-316,212
123,-324,218
124,-327,218
125,-311,193
126,-320,174
127,-324,158
128,-331,147
129,-339,152
130,-342,146
131,-336,145
132,-324,142
133,-312,148
134,-303,162
135,-299,177
136,-297,184
137,-308,168
138,-321,162
139,-339,157
140,-346,158
141,-353,154
142,-342,147
143,-338,145
144,-351,165
145,-346,171
146,-332,160
147,-322,168
148,-320,171
149,-317,163
150,-313,169
151,-293,185
152,-297,203
153,-302,216
154,-301,204
155,-301,194
156,-308,179
157,-325,162
158,-330,153
159,-353,165
160,-360,182
161,-368,184
162,-369,177
163,-360,157
164,-355,145
165,-330,141
166,-318,142
167,-304,149
168,-295,162
169,-294,176
170,-292,194
171,-307,201
172,-328,198
173,-354,188
174,-361,172
175,-363,175
176,-361,204
177,-352,214
178,-366,201
179,-369,207
180,-354,210
181,-342,220
182,-333,225
183,-317,220
184,-305,209
185,-307,196
186,-343,205
187,-363,185
188,-375,174
189,-368,151
190,-364,144
191,-366,164
192,-366,157
193,-344,138
194,-333,137
195,-311,140
196,-295,153
197,-287,180
198,-285,197
199,-288,202
200,-291,181
201,-300,161
202,-316,144
203,-331,137
204,-292,148
205,-307,159
206,-311,145
207,-334,133
208,-344,137
209,-363,151
210,-369,172
211,-353,191
212,-287,194
213,-278,182
214,-269,192
215,-281,202
216,-283,179
217,-290,147
218,-307,140
219,-311,137
220,-314,141
221,-285,152
222,-277,176
223,-274,180
224,-291,149
225,-315,143
226,-329,146
227,-338,143
228,-330,146
229,-322,153
230,-334,144
231,-338,142
232,-348,156
233,-349,178
234,-326,205
235,-296,207
236,-286,184
237,-291,164
238,-287,160
239,-283,160
240,-285,165
241,-294,143
242,-305,137
243,-328,138
244,-354,148
245,-372,163
246,-380,193
247,-378,138
248,-363,121
249,-344,121
250,-331,134
251,-175,117
252,-175,110
253,-160,102
254,-150,110
255,-162,112
256,-160,100
257,-146,89
258,-139,88
259,-140,104
260,-150,94
261,-144,81
262,-150,69
263,-163,87
264,-174,102
265,-169,95
266,-164,80
267,-160,85
268,-156,101
269,-152,116
270,-137,118
271,-131,106
272,-133,86
273,-139,77
274,-145,102
275,-154,118
276,-152,119
277,-140,115
278,-135,98
279,-135,85
280,-144,98
281,-150,84
282,-156,81
283,-154,112
284,-144,120
285,-160,121
286,-151,128
287,-140,132
288,-131,121
289,-127,106
290,-134,88
291,-156,77
292,-165,106
293,-164,92
294,-175,77
295,-176,104
296,-170,108
297,-166,87
298,-153,79
299,-138,89
300,-128,106
301,-121,116
302,-121,97
303,-124,84
304,-129,72
305,-139,64
306,-155,61
307,-140,63
308,-130,70
309,-119,96
310,-118,118
311,-123,122
312,-128,129
313,-143,138
314,-161,136
315,-165,130
316,-180,117
317,-185,105
318,-188,82
319,-177,73
320,-163,61
321,-146,57
322,-131,61
323,-120,96
324,-129,101
325,-120,130
326,-112,122
327,-110,104
328,-111,80
329,-116,65
330,-124,83
331,-139,69
332,-153,66
333,-165,68
334,-180,89
335,-182,87
336,-177,95
337,-172,114
338,-146,130
339,-138,136
340,-152,142
341,-145,146
342,-135,148
343,-126,147
344,-123,139
345,-129,121
346,-133,125
347,-142,116
348,-142,105
349,-121,82
350,-103,105
351,-96,113
352,-106,89
353,-122,74
354,-140,65
355,-163,58
356,-168,69
357,-178,90
358,-180,102
359,-184,90
360,-181,62
361,-166,57
362,-142,54
363,-125,62
364,-117,83
365,-116,112
366,-112,118
367,-113,143
368,-106,139
369,-102,121
370,-104,111
371,-95,93
372,-105,79
373,-110,73
374,-116,64
375,-131,51
376,-141,49
377,-152,55
378,-115,55
379,-92,75
380,-80,93
381,-70,122
382,-75,138
383,-90,138
384,-94,112
385,-105,95
386,-126,106
387,-136,105
388,-140,103
389,-145,120
390,-155,128
391,-166,116
392,-155,96
393,-132,95
394,-108,128
395,-99,136
396,-86,109
397,-91,84
398,-103,66
399,-122,49
400,-96,65
401,52,239
402,53,233
403,66,238
404,66,241
405,64,238
406,63,239
407,58,251
408,76,249
409,62,241
410,59,244
411,69,249
412,70,253
413,68,247
414,82,241
415,79,237
416,72,232
417,66,224
418,60,220
419,62,232
420,53,236
421,48,228
422,62,221
423,72,220
424,87,231
425,93,243
426,95,248
427,100,235
428,88,221
429,83,218
430,78,221
431,81,229
432,90,221
433,96,236
434,86,245
435,83,243
436,82,228
437,73,229
438,59,231
439,53,224
440,64,218
441,80,221
442,98,239
443,105,241
444,106,231
445,96,217
446,76,214
447,58,230
448,53,240
449,46,239
450,46,245
451,47,246
452,47,228
453,62,213
454,86,207
455,95,221
456,104,238
457,111,247
458,116,239
459,114,228
460,108,215
461,100,207
462,71,200
463,59,211
464,50,223
465,44,212
466,44,220
467,41,217
468,66,205
469,84,211
470,92,227
471,97,232
472,109,219
473,108,207
474,110,204
475,115,216
476,124,228
477,128,225
478,112,198
479,93,195
480,80,214
481,72,226
482,56,207
483,70,200
484,84,201
485,68,191
486,59,193
487,88,192
488,99,193
489,113,206
490,119,216
491,124,227
492,124,232
493,95,230
494,83,227
495,66,229
496,54,218
497,90,200
498,112,210
499,116,212
500,94,208
501,93,90
502,98,79
503,110,74
504,112,85
505,105,81
506,122,100
507,125,102
508,126,81
509,116,70
510,108,94
511,84,71
512,92,57
513,107,64
514,99,76
515,100,95
516,120,102
517,128,80
518,135,76
519,136,78
520,119,58
521,115,61
522,121,91
523,124,89
524,130,70
525,116,58
526,113,60
527,120,70
528,105,55
529,113,52
530,121,62
531,131,85
532,135,97
533,111,99
534,90,84
535,85,72
536,98,100
537,107,107
538,107,87
539,98,72
540,89,65
541,88,88
542,100,108
543,114,111
544,138,105
545,145,87
546,136,60
547,125,54
548,116,86
549,113,71
550,113,76
551,120,98
552,123,112
553,142,78
554,128,62
555,107,49
556,88,53
557,97,56
558,115,48
559,123,53
560,132,64
561,135,100
562,107,98
563,92,78
564,85,95
