235, 3
1, 76, 405
2, 68, 396
3, 75, 394
4, 84, 397
5, 86, 405
6, 86, 415
7, 74, 415
8, 66, 417
9, 64, 409
10, 56, 406
11, 55, 306
12, 46, 293
13, 55, 293
14, 67, 293
15, 66, 303
16, 45, 286
17, 54, 284
18, 63, 286
19, 75, 285
20, 75, 295
21, 174, 355
22, 174, 369
23, 166, 369
24, 166, 353
25, 154, 365
26, 154, 357
27, 144, 356
28, 142, 366
29, 163, 366
30, 155, 345
31, 199, 279
32, 188, 279
33, 183, 266
34, 197, 260
35, 196, 272
36, 186, 266
37, 195, 265
38, 206, 266
39, 206, 274
40, 204, 256
41, 328, 336
42, 327, 343
43, 312, 335
44, 314, 344
45, 305, 344
46, 302, 333
47, 317, 325
48, 324, 325
49, 302, 325
50, 313, 317
51, 395, 407
52, 387, 407
53, 384, 392
54, 393, 397
55, 394, 403
56, 387, 403
57, 386, 385
58, 394, 385
59, 404, 394
60, 406, 403
61, 444, 311
62, 433, 309
63, 437, 304
64, 445, 303
65, 436, 298
66, 444, 296
67, 435, 284
68, 443, 284
69, 455, 294
70, 455, 303
71, 216, 257
72, 229, 259
73, 230, 267
74, 226, 271
75, 211, 278
76, 203, 276
77, 205, 270
78, 212, 268
79, 214, 268
80, 220, 264
81, 209, 261
82, 224, 267
83, 220, 271
84, 217, 274
85, 75, 289
86, 84, 291
87, 91, 294
88, 96, 299
89, 91, 301
90, 85, 303
91, 75, 305
92, 67, 306
93, 62, 297
94, 82, 297
95, 83, 289
96, 89, 289
97, 90, 290
98, 158, 351
99, 170, 351
100, 185, 354
101, 193, 361
102, 180, 364
103, 170, 365
104, 160, 363
105, 172, 361
106, 93, 397
107, 104, 400
108, 112, 404
109, 114, 410
110, 112, 413
111, 101, 414
112, 83, 414
113, 92, 409
114, 97, 408
115, 402, 400
116, 378, 404
117, 368, 403
118, 364, 391
119, 372, 386
120, 380, 386
121, 379, 396
122, 386, 398
123, 397, 398
124, 327, 339
125, 323, 330
126, 321, 319
127, 330, 316
128, 339, 316
129, 338, 327
130, 341, 333
131, 328, 338
132, 326, 332
133, 332, 327
134, 332, 326
135, 421, 301
136, 415, 301
137, 412, 294
138, 419, 284
139, 425, 288
140, 431, 293
141, 435, 294
142, 182, 327
143, 174, 315
144, 187, 307
145, 204, 303
146, 207, 309
147, 200, 322
148, 209, 327
149, 270, 316
150, 252, 325
151, 230, 327
152, 233, 318
153, 252, 331
154, 255, 338
155, 238, 361
156, 229, 356
157, 242, 357
158, 285, 370
159, 299, 370
160, 326, 371
161, 345, 373
162, 333, 380
163, 312, 386
164, 270, 394
165, 254, 378
166, 257, 371
167, 383, 336
168, 387, 360
169, 395, 352
170, 379, 335
171, 414, 333
172, 397, 354
173, 376, 336
174, 401, 322
175, 374, 296
176, 344, 296
177, 314, 294
178, 291, 285
179, 256, 285
180, 288, 272
181, 312, 275
182, 356, 283
183, 327, 286
184, 300, 294
185, 286, 333
186, 157, 310
187, 124, 316
188, 124, 298
189, 153, 285
190, 124, 293
191, 115, 308
192, 77, 340
193, 77, 354
194, 98, 364
195, 86, 381
196, 90, 388
197, 166, 403
198, 166, 388
199, 183, 383
200, 203, 382
201, 222, 393
202, 233, 384
203, 234, 375
204, 220, 363
205, 310, 371
206, 307, 361
207, 273, 324
208, 250, 336
209, 238, 330
210, 252, 316
211, 238, 322
212, 247, 323
213, 248, 330
214, 237, 333
215, 224, 331
216, 228, 322
217, 240, 325
218, 244, 326
219, 235, 330
220, 226, 325
221, 227, 319
222, 232, 319
223, 438, 334
224, 432, 347
225, 407, 371
226, 400, 366
227, 409, 352
228, 421, 338
229, 406, 342
230, 396, 345
231, 410, 358
232, 387, 356
233, 379, 345
234, 395, 351
235, 406, 343
