500, 3
1, 29, 98
2, 34, 98
3, 32, 97
4, 30, 96
5, 29, 94
6, 34, 95
7, 32, 94
8, 31, 92
9, 30, 93
10, 28, 97
11, 34, 97
12, 34, 92
13, 27, 87
14, 28, 93
15, 34, 91
16, 42, 95
17, 34, 84
18, 28, 87
19, 33, 89
20, 37, 90
21, 32, 90
22, 33, 88
23, 42, 80
24, 51, 92
25, 27, 90
26, 19, 87
27, 25, 86
28, 38, 85
29, 41, 89
30, 43, 85
31, 38, 78
32, 28, 82
33, 22, 90
34, 22, 97
35, 23, 101
36, 24, 102
37, 33, 107
38, 37, 104
39, 41, 98
40, 31, 103
41, 35, 96
42, 39, 92
43, 40, 91
44, 43, 93
45, 40, 81
46, 31, 78
47, 15, 78
48, 30, 104
49, 25, 101
50, 23, 92
51, 16, 86
52, 16, 94
53, 20, 99
54, 20, 90
55, 20, 84
56, 23, 80
57, 25, 78
58, 25, 82
59, 22, 74
60, 18, 78
61, 28, 74
62, 30, 76
63, 32, 77
64, 33, 81
65, 38, 88
66, 40, 96
67, 38, 108
68, 34, 102
69, 35, 100
70, 37, 99
71, 38, 102
72, 29, 109
73, 28, 107
74, 23, 102
75, 20, 100
76, 16, 89
77, 15, 85
78, 18, 95
79, 21, 97
80, 20, 89
81, 20, 86
82, 25, 81
83, 29, 84
84, 30, 87
85, 26, 93
86, 25, 98
87, 18, 93
88, 28, 80
89, 32, 76
90, 37, 74
91, 38, 76
92, 40, 83
93, 43, 92
94, 44, 86
95, 45, 88
96, 47, 92
97, 46, 96
98, 43, 100
99, 41, 104
100, 26, 105
101, 21, 71
102, 33, 68
103, 41, 69
104, 42, 71
105, 44, 77
106, 49, 93
107, 51, 100
108, 47, 105
109, 44, 109
110, 35, 111
111, 22, 103
112, 19, 103
113, 25, 108
114, 45, 105
115, 49, 96
116, 51, 87
117, 51, 79
118, 46, 85
119, 45, 81
120, 43, 75
121, 43, 73
122, 47, 76
123, 47, 80
124, 49, 78
125, 45, 71
126, 39, 67
127, 36, 71
128, 30, 69
129, 31, 72
130, 33, 77
131, 32, 72
132, 33, 78
133, 38, 80
134, 36, 82
135, 19, 67
136, 18, 71
137, 18, 77
138, 13, 92
139, 17, 97
140, 23, 109
141, 25, 111
142, 37, 111
143, 46, 108
144, 51, 98
145, 53, 90
146, 55, 78
147, 52, 71
148, 44, 69
149, 45, 68
150, 36, 63
151, 31, 64
152, 29, 67
153, 11, 77
154, 11, 94
155, 17, 107
156, 23, 112
157, 34, 115
158, 46, 111
159, 58, 104
160, 46, 116
161, 58, 100
162, 57, 92
163, 57, 86
164, 58, 70
165, 57, 66
166, 45, 63
167, 41, 62
168, 35, 60
169, 34, 61
170, 27, 65
171, 11, 80
172, 10, 93
173, 7, 103
174, 10, 107
175, 16, 98
176, 13, 91
177, 9, 84
178, 11, 79
179, 21, 74
180, 25, 76
181, 23, 73
182, 30, 66
183, 36, 66
184, 55, 83
185, 59, 94
186, 53, 111
187, 46, 121
188, 36, 122
189, 26, 115
190, 25, 115
191, 37, 117
192, 48, 110
193, 51, 95
194, 55, 91
195, 55, 102
196, 55, 105
197, 57, 100
198, 61, 91
199, 57, 80
200, 22, 60
201, 19, 242
202, 27, 244
203, 41, 241
204, 45, 238
205, 39, 231
206, 31, 234
207, 30, 240
208, 37, 241
209, 36, 248
210, 30, 252
211, 23, 250
212, 27, 246
213, 33, 246
214, 24, 245
215, 27, 238
216, 36, 236
217, 28, 231
218, 30, 237
219, 33, 233
220, 35, 234
221, 36, 239
222, 33, 242
223, 24, 238
224, 27, 230
225, 32, 228
226, 37, 229
227, 41, 236
228, 34, 244
229, 19, 232
230, 21, 227
231, 32, 223
232, 42, 232
233, 46, 240
234, 47, 246
235, 46, 249
236, 44, 249
237, 43, 250
238, 38, 241
239, 40, 233
240, 42, 242
241, 43, 233
242, 41, 229
243, 33, 222
244, 25, 225
245, 18, 233
246, 9, 240
247, 10, 220
248, 17, 213
249, 23, 209
250, 25, 226
251, 21, 219
252, 20, 211
253, 24, 209
254, 31, 205
255, 35, 207
256, 40, 206
257, 45, 205
258, 52, 216
259, 51, 232
260, 38, 217
261, 37, 214
262, 39, 216
263, 43, 228
264, 43, 225
265, 42, 218
266, 33, 217
267, 29, 214
268, 25, 220
269, 23, 227
270, 17, 230
271, 10, 229
272, 10, 233
273, 17, 239
274, 11, 244
275, 15, 246
276, 17, 248
277, 15, 232
278, 14, 229
279, 12, 232
280, 14, 220
281, 25, 216
282, 29, 219
283, 31, 222
284, 38, 226
285, 42, 230
286, 46, 232
287, 48, 235
288, 51, 240
289, 51, 247
290, 54, 246
291, 55, 237
292, 53, 228
293, 46, 217
294, 45, 216
295, 46, 228
296, 46, 227
297, 49, 228
298, 49, 221
299, 49, 218
300, 41, 225
301, 38, 222
302, 32, 215
303, 27, 216
304, 23, 221
305, 23, 212
306, 29, 208
307, 21, 215
308, 19, 225
309, 13, 222
310, 23, 211
311, 39, 208
312, 41, 206
313, 31, 192
314, 28, 193
315, 20, 198
316, 35, 198
317, 29, 196
318, 25, 201
319, 23, 206
320, 18, 207
321, 28, 204
322, 34, 200
323, 41, 202
324, 45, 209
325, 47, 216
326, 49, 223
327, 44, 226
328, 51, 233
329, 56, 233
330, 61, 225
331, 61, 213
332, 57, 206
333, 49, 197
334, 43, 196
335, 47, 210
336, 51, 214
337, 58, 225
338, 58, 228
339, 59, 239
340, 57, 249
341, 59, 232
342, 57, 220
343, 50, 207
344, 46, 204
345, 29, 194
346, 21, 198
347, 8, 209
348, 3, 218
349, 4, 231
350, 7, 221
351, 8, 215
352, 10, 226
353, 16, 208
354, 15, 220
355, 17, 211
356, 31, 209
357, 34, 211
358, 33, 208
359, 35, 209
360, 35, 205
361, 48, 206
362, 57, 212
363, 48, 222
364, 47, 225
365, 52, 222
366, 55, 224
367, 62, 234
368, 55, 242
369, 51, 245
370, 40, 247
371, 39, 250
372, 33, 252
373, 29, 252
374, 18, 251
375, 12, 238
376, 12, 237
377, 20, 240
378, 17, 236
379, 11, 238
380, 7, 245
381, 5, 238
382, 4, 233
383, 6, 220
384, 7, 207
385, 19, 201
386, 14, 207
387, 12, 213
388, 19, 223
389, 23, 226
390, 25, 232
391, 23, 233
392, 25, 236
393, 23, 237
394, 35, 226
395, 43, 217
396, 43, 222
397, 45, 210
398, 41, 213
399, 47, 213
400, 55, 221
401, 338, 154
402, 329, 151
403, 332, 150
404, 336, 154
405, 326, 151
406, 334, 159
407, 337, 164
408, 336, 143
409, 321, 148
410, 326, 158
411, 329, 157
412, 331, 156
413, 325, 159
414, 315, 146
415, 332, 148
416, 327, 139
417, 320, 148
418, 317, 153
419, 320, 127
420, 311, 116
421, 308, 110
422, 307, 112
423, 313, 132
424, 304, 136
425, 297, 128
426, 305, 153
427, 316, 176
428, 331, 186
429, 343, 166
430, 342, 152
431, 331, 171
432, 341, 170
433, 346, 159
434, 349, 137
435, 338, 118
436, 337, 121
437, 337, 135
438, 353, 151
439, 360, 170
440, 346, 188
441, 339, 191
442, 312, 164
443, 299, 152
444, 301, 139
445, 294, 165
446, 301, 178
447, 309, 186
448, 318, 192
449, 310, 162
450, 308, 156
451, 326, 173
452, 327, 176
453, 313, 176
454, 291, 154
455, 286, 134
456, 304, 118
457, 316, 109
458, 329, 106
459, 341, 111
460, 358, 132
461, 358, 151
462, 357, 166
463, 352, 178
464, 351, 184
465, 341, 181
466, 310, 143
467, 315, 161
468, 302, 167
469, 305, 172
470, 311, 182
471, 290, 168
472, 292, 146
473, 295, 139
474, 301, 130
475, 314, 118
476, 321, 112
477, 327, 112
478, 329, 123
479, 327, 128
480, 330, 136
481, 342, 127
482, 350, 145
483, 343, 143
484, 347, 147
485, 356, 151
486, 360, 162
487, 353, 174
488, 348, 185
489, 326, 187
490, 317, 184
491, 302, 176
492, 288, 156
493, 283, 139
494, 287, 179
495, 292, 189
496, 310, 196
497, 332, 198
498, 347, 195
499, 324, 194
500, 350, 166
