437, 3
1, 47, 154
2, 55, 167
3, 64, 174
4, 74, 177
5, 85, 178
6, 98, 176
7, 109, 172
8, 116, 164
9, 121, 156
10, 123, 148
11, 125, 136
12, 124, 127
13, 122, 118
14, 119, 112
15, 114, 107
16, 101, 98
17, 93, 93
18, 83, 87
19, 72, 79
20, 62, 73
21, 54, 68
22, 48, 58
23, 44, 46
24, 41, 38
25, 52, 39
26, 60, 39
27, 74, 38
28, 83, 39
29, 92, 39
30, 105, 39
31, 115, 40
32, 126, 40
33, 137, 41
34, 147, 42
35, 50, 162
36, -108, 130
37, -104, 139
38, -98, 147
39, -93, 156
40, -87, 164
41, -83, 170
42, -77, 177
43, -72, 183
44, -71, 172
45, -72, 166
46, -71, 159
47, -71, 147
48, -72, 154
49, -72, 139
50, -72, 130
51, -72, 120
52, -72, 111
53, -73, 102
54, -73, 92
55, -73, 78
56, -73, 71
57, -73, 61
58, -73, 54
59, -73, 45
60, -73, 38
61, -73, 31
62, -72, 23
63, -80, 24
64, -87, 25
65, -93, 23
66, -102, 24
67, -108, 23
68, -68, 23
69, -62, 23
70, -55, 24
71, -49, 24
72, -44, 25
73, 219, 180
74, 223, 181
75, 229, 180
76, 235, 181
77, 239, 182
78, 251, 180
79, 247, 180
80, 260, 180
81, 265, 181
82, 274, 182
83, 282, 181
84, 286, 181
85, 292, 181
86, 301, 180
87, 300, 178
88, 296, 175
89, 291, 170
90, 288, 166
91, 282, 160
92, 274, 154
93, 269, 150
94, 260, 144
95, 254, 140
96, 245, 134
97, 239, 128
98, 231, 124
99, 224, 118
100, 220, 116
101, 217, 111
102, 218, 111
103, 226, 114
104, 231, 117
105, 236, 120
106, 242, 123
107, 249, 125
108, 256, 126
109, 262, 126
110, 273, 124
111, 281, 123
112, 289, 122
113, 295, 118
114, 301, 112
115, 303, 103
116, 305, 96
117, 306, 87
118, 306, 76
119, 303, 68
120, 301, 58
121, 299, 49
122, 295, 44
123, 287, 41
124, 279, 38
125, 265, 35
126, 257, 35
127, 246, 35
128, 238, 35
129, 232, 35
130, 227, 35
131, 223, 36
132, 217, 38
133, 211, 39
134, 205, 38
135, 244, 181
136, 249, 135
137, 247, 124
138, 302, 62
139, 68, 78
140, 88, 89
141, -136, -93
142, -132, -88
143, -125, -82
144, -122, -77
145, -117, -72
146, -114, -69
147, -109, -64
148, -104, -59
149, -98, -52
150, -93, -47
151, -86, -40
152, -81, -35
153, -74, -29
154, -69, -26
155, -62, -21
156, -60, -19
157, -141, -98
158, -144, -100
159, -149, -106
160, -153, -112
161, -158, -117
162, -151, -116
163, -139, -116
164, -133, -116
165, -125, -114
166, -117, -113
167, -113, -113
168, -101, -113
169, -98, -112
170, -95, -112
171, -89, -112
172, -81, -112
173, -77, -112
174, -70, -111
175, -60, -112
176, -52, -113
177, -45, -112
178, -38, -112
179, -30, -110
180, -26, -110
181, -61, -25
182, -59, -33
183, -61, -41
184, -61, -51
185, -61, -55
186, -61, -61
187, -61, -69
188, -61, -71
189, -61, -74
190, -60, -82
191, -61, -87
192, -61, -94
193, -61, -102
194, -61, -108
195, -61, -122
196, -61, -127
197, -61, -131
198, -61, -140
199, -61, -148
200, -61, -155
201, -61, -163
202, -61, -173
203, -61, -182
204, -61, -185
205, -61, -186
206, -62, -186
207, -63, -111
208, 42, -21
209, 50, -21
210, 60, -20
211, 66, -20
212, 77, -19
213, 83, -20
214, 97, -22
215, 102, -21
216, 93, -20
217, 107, -19
218, 118, -19
219, 127, -19
220, 133, -19
221, 141, -19
222, 42, -24
223, 42, -26
224, 42, -29
225, 43, -33
226, 42, -36
227, 42, -44
228, 42, -49
229, 42, -53
230, 41, -57
231, 41, -59
232, 41, -65
233, 41, -69
234, 41, -73
235, 41, -76
236, 41, -78
237, 41, -83
238, 44, -82
239, 53, -81
240, 62, -81
241, 66, -81
242, 72, -80
243, 80, -81
244, 86, -80
245, 92, -78
246, 98, -78
247, 106, -79
248, 117, -79
249, 121, -79
250, 126, -81
251, 130, -84
252, 134, -86
253, 136, -90
254, 138, -95
255, 139, -103
256, 139, -114
257, 139, -117
258, 139, -126
259, 138, -133
260, 136, -145
261, 136, -148
262, 134, -154
263, 130, -159
264, 120, -159
265, 112, -162
266, 99, -162
267, 89, -163
268, 81, -163
269, 70, -164
270, 67, -163
271, 58, -164
272, 52, -163
273, 46, -162
274, 38, -162
275, 34, -162
276, 267, -83
277, 262, -86
278, 257, -91
279, 252, -95
280, 250, -98
281, 247, -103
282, 245, -108
283, 245, -115
284, 244, -122
285, 243, -129
286, 244, -139
287, 246, -147
288, 248, -151
289, 250, -156
290, 256, -163
291, 257, -164
292, 261, -163
293, 270, -167
294, 276, -167
295, 281, -166
296, 286, -164
297, 290, -163
298, 297, -158
299, 299, -151
300, 299, -140
301, 297, -132
302, 295, -126
303, 293, -121
304, 289, -119
305, 282, -118
306, 274, -120
307, 267, -122
308, 261, -125
309, 257, -129
310, 254, -133
311, 251, -137
312, 248, -145
313, 248, -146
314, -376, 130
315, -373, 132
316, -368, 135
317, -361, 140
318, -353, 145
319, -342, 149
320, -336, 151
321, -327, 156
322, -323, 159
323, -318, 163
324, -318, 158
325, -319, 149
326, -317, 140
327, -317, 132
328, -318, 120
329, -319, 112
330, -320, 106
331, -320, 94
332, -320, 85
333, -320, 77
334, -320, 72
335, -320, 62
336, -320, 55
337, -321, 46
338, -321, 43
339, -345, 95
340, -337, 96
341, -326, 99
342, -316, 103
343, -308, 105
344, -302, 107
345, -298, 108
346, -332, 98
347, -253, 49
348, -245, 52
349, -240, 54
350, -228, 51
351, -224, 47
352, -224, 42
353, -224, 37
354, -225, 34
355, -229, 29
356, -234, 24
357, -240, 21
358, -243, 21
359, -246, 21
360, -251, 22
361, -253, 27
362, -256, 33
363, -256, 38
364, -256, 47
365, -243, 20
366, -236, 21
367, -233, 21
368, -229, 20
369, -226, 18
370, -223, 13
371, -222, 9
372, -222, 3
373, -222, 1
374, -222, -4
375, -226, -11
376, -227, -13
377, -234, -14
378, -240, -13
379, -247, -13
380, -252, -13
381, -255, -12
382, -259, -3
383, -259, -1
384, -256, 8
385, -254, 11
386, -249, 17
387, -247, 20
388, -13, 15
389, -16, 13
390, -15, 9
391, -14, 7
392, -11, 7
393, -7, 8
394, -5, 12
395, -5, 14
396, -5, 16
397, -8, 16
398, -11, 17
399, -5, 15
400, -5, 10
401, -5, 5
402, -5, -3
403, -5, -7
404, -8, -8
405, -10, -9
406, -12, -9
407, -14, -9
408, -307, -129
409, -303, -122
410, -287, -111
411, -274, -107
412, -250, -108
413, -241, -111
414, -238, -116
415, -236, -127
416, -236, -139
417, -236, -152
418, -235, -164
419, -234, -179
420, -234, -187
421, -236, -200
422, -238, -209
423, -243, -215
424, -254, -218
425, -263, -219
426, -273, -215
427, -280, -211
428, -288, -202
429, -296, -185
430, -301, -168
431, -304, -149
432, -304, -138
433, -304, -126
434, -303, -121
435, -302, -158
436, -298, -174
437, -294, -191
